ID,Category,Subcategory,Stratum,Frequency,Word,Auditory,Visual,Haptic,Gustatory,Olfactory,Interoceptive,Dominant_modalities,Dominant_modality,Maximum_perceptual_strength,Iconicity,Modality_exclusivity
158,Adjective,NA,Native,6832,kowai,3.4,4,2.3,0.7,0.9,4.4,Interoceptive,Interoceptive,4.4,1.6,23.56687898
404,Noun,NA,Sino-Japanese,10412,kachi,2.1,3.4,2.6,1.9,1.7,2,Visual,Visual,3.4,1.6,12.40875912
157,Adjective,NA,Native,785,hisashii,2.2,2,1.3,1.8,1.8,2.3,Interoceptive,Interoceptive,2.3,1.6,8.771929825
156,Function_word,NA,Native,2488,tagaru,2.545454545,2.818181818,2.363636364,1.727272727,1.363636364,3.454545455,Interoceptive,Interoceptive,3.454545455,1.615384615,14.64968153
403,Noun,NA,Sino-Japanese,15622,toshi,2.5,3.6,0.3,0.1,1,1.5,Visual,Visual,3.6,1.615384615,38.88888889
235,Ideophone,Reduplicated,Ideophonic,407,burabura,2.181818182,2.727272727,1.545454545,0.090909091,0.272727273,2.454545455,Visual,Visual,2.727272727,NA,28.43137254
401,Noun,NA,Native,9816,mune,1.4,3.1,2.9,0.6,0.9,2.8,Visual,Visual,3.1,1.625,21.36752137
402,Noun,NA,Native,10746,sora,1,4.416666667,0.666666667,0.333333333,1.166666667,2.583333333,Visual,Visual,4.416666667,1.625,40.16393443
155,Verb,NA,Native,12502,hataraku,1.3,2.4,1.7,0.1,0.3,2.8,Interoceptive,Interoceptive,2.8,1.625,31.39534884
78,Verb,NA,Native,7013,daku,1.636363636,3.090909091,4.090909091,0.545454545,1.909090909,3,Haptic,Haptic,4.090909091,1.636363636,24.84076434
399,Adjective,NA,Native,9418,tadashii,2.727272727,3.727272727,2.090909091,1.545454545,1.545454545,3.454545455,Visual,Visual,3.727272727,1.636363636,14.45783133
26,Verb,NA,Native,52290,kuru,4.1,4,1.3,0.4,2,3.3,Auditory,Auditory,4.1,1.642857143,24.50331126
